Here is your entire brainstorm, feature design, bank integrations, and PRD completely restructured into scannable tables for your teammates.
1. Feature Concept & Mechanics Overview


Dimension
	Component Details
	Hackathon Strategic Value
	Core Feature Name
	BeU NextGen Momentum Engine (Streaks & Tiers)
	Direct alignment with Track 1 (Sub-domain 2): Money Habits & Saving.
	The Behavior Problem
	Traditional financial apps are dry, dense, and unengaging for university youth.
	Solves the rubric's Track Alignment by matching real human behavior patterns.
	TikTok-Style Streak
	"Save-Not-Spend" Engine: $+1$ to currentStreak daily if total spending remains below the Safe Daily Spend limit. Overspending resets it to 0.
	Boosts UI/UX Polish & Innovation scores by making budget discipline feel gamified.
	Zus Coffee-Style Tiers
	3-tiered rewards ecosystem built natively inside the Zustand state store (useStore.ts) tracking milestone levels.
	Demonstrates technical implementation depth beyond superficial mockups.
	Dashboard Visual Cue
	Pulsing fire emoji (🔥 X Days) next to the cashflow tracker. BeU Pet reacts dynamically (excited on growth, sad/angry on streak breakage).
	Maximizes evaluation points for intuitive, user-centered UI/UX & Visual Design.
	2. Bank Islam Campaign & Real-World Product Integration


Tier Level
	Tier Milestone
	Actual Bank Islam Product Integration
	App Execution & Simulated Rewards
	1. Bronze Budgeter
	Base Level (0–6 Day Streak)
	Baseline access to the 4 AI Council Specialized Agents
	Default entry level. Standard interaction with Savings Sentinel, Debt Shield, Growth Guru, and Finance Strategist.
	2. Silver Saver
	Maintain 7-Day Streak
	Be U Awfar Account & "Nest" Savings Pockets
	Triggers automated prompts to move daily unspent capital into an Awfar Nest. Links to Bank Islam’s RM15 Million Draw (Porsche Taycan / BMW i4 prizes) and unlocks localized merchant partner rewards (e.g., RM5 OFF Grab or 10% OFF Koppiku).
	3. Gold Guardian
	Maintain 30-Day Streak
	Be U Term Deposit-i (TD-i) / MaxCash 2026 Campaign
	Unlocks simulation access to the premium BeU MaxCash Hybrid Engine. System automatically calculates optimization metrics for placing RM1,000 of idle cash into fixed returns and applies a premium compound rate modifier (6.5% to 7.0% p.a.) to Growth Starter pockets.
	3. Social Marketing Campaign Track: #MisiBIMBTransition


Campaign Component
	Operational Action Workflow
	Business & Structural Value
	The Macro Hook
	Capture the major event of Be U app discontinuing on July 31, 2026, and migrating to the main BIMB Mobile application.
	Proves Business Model & Viability by actively retaining youth users through the real-world platform transition phase.
	The Trend Theme
	"Graduation From Broke" / #MisiBIMBTransition Challenge (Inspired by the real Be U Savings Streak #MisiPuasaRaya challenge).
	Speaks directly to the judges' focus on localized, youth-centered strategies.
	"Share My Roast" Button
	Placed in Pay Scanner (/scan) or AI Coach (/coach). Exports a hilariously savage BM/Manglish financial de-influencing roast comment.
	Converts witty, localized app content into an organic, loop-based viral customer acquisition tool.
	Canvas Generation
	Programmatically compiles a mobile-friendly graphic containing the current BeU Pet asset, the custom AI roast text, user streak data, and an application download QR code.
	Leverages your Nova Cloud instance hosting environment to dynamically serve real-time download targets.
	The Virality Incentive
	Sharing the generated "Financial Passport" graphic grants the user a 24-hour "Streak Shield" to protect their current status + a simulated RM10 Referral Bonus loop.
	Matches Bank Islam’s real-world referral strategy to create realistic customer retention loops.
	4. Technical Blueprint & Product Requirements Document (PRD)
4.1 Functional Requirements
Requirement ID
	Technical Module
	Functional Specification (What It Must Do)
	SR-1.1
	Streak Tracking
	Must monitor daily discretionary user card transaction inputs against the live calculated Safe Daily Spend threshold.
	SR-1.2
	Increment Logic
	At 11:59 PM, if total daily expenditure $\le$ Safe Daily Spend, the global state variable currentStreak increments by $+1$.
	SR-1.3
	Reset Logic
	If daily spend exceeds Safe Daily Spend, currentStreak drops to 0. Updates companion state to sad or angry.
	SR-1.4
	Streak Shield
	Provides an interface once a week to consume a "Streak Shield" earned via social media sharing to prevent status decay.
	SR-2.1
	Tier Computation
